9.2117 	EXP 	fb_2: autoDraw = False
9.2117 	EXP 	text: height = 0.05
9.2117 	EXP 	text: height = 0.05
9.2117 	EXP 	text: height = 0.05
9.2117 	EXP 	text: text = 'choose left'
9.2117 	EXP 	text: autoDraw = True
9.2117 	EXP 	image: autoDraw = True
9.2117 	EXP 	image_2: autoDraw = True
9.9505 	DATA 	Keypress: left
9.9611 	EXP 	text: autoDraw = False
9.9611 	EXP 	image: autoDraw = False
9.9611 	EXP 	image_2: autoDraw = False
9.9611 	EXP 	fb_2: foreColor = <psychopy.colors.Color: green, alpha=1.0>
9.9611 	EXP 	fb_2: height = 0.1
9.9611 	EXP 	fb_2: height = 0.1
9.9611 	EXP 	fb_2: height = 0.1
9.9611 	EXP 	fb_2: text = 'Correct! 0.80, 0 cleared'
9.9611 	EXP 	fb_2: autoDraw = True
10.9465 	EXP 	New trial (rep=1, index=0): <Trial 2 (0 in rep 1) data={'stimuli': 'choose left', 'corrAns': 'left', 'thisN': 2, 'thisTrialN': 0, 'thisRepN': 1}>
10.9613 	INFO 	Keyboard events cleared
10.9613 	EXP 	fb_2: autoDraw = False
10.9613 	EXP 	fb_2: autoDraw = False
10.9613 	EXP 	text: text = 'choose left'
10.9613 	EXP 	text: autoDraw = True
10.9613 	EXP 	image: autoDraw = True
10.9613 	EXP 	image_2: autoDraw = True
11.5321 	DATA 	Keypress: left
11.5613 	EXP 	text: autoDraw = False
11.5613 	EXP 	image: autoDraw = False
11.5613 	EXP 	image_2: autoDraw = False
11.5613 	EXP 	fb_2: foreColor = <psychopy.colors.Color: green, alpha=1.0>
11.5613 	EXP 	fb_2: height = 0.1
11.5613 	EXP 	fb_2: height = 0.1
11.5613 	EXP 	fb_2: height = 0.1
11.5613 	EXP 	fb_2: text = 'Correct! 0.83, 0 cleared'
11.5613 	EXP 	fb_2: autoDraw = True
12.5475 	EXP 	New trial (rep=1, index=1): <Trial 3 (1 in rep 1) data={'stimuli': 'choose right', 'corrAns': 'right', 'thisN': 3, 'thisTrialN': 1, 'thisRepN': 1}>
12.5614 	INFO 	Keyboard events cleared
12.5613 	EXP 	fb_2: autoDraw = False
12.5613 	EXP 	fb_2: autoDraw = False
12.5613 	EXP 	text: height = 0.05
12.5613 	EXP 	text: height = 0.05
12.5613 	EXP 	text: height = 0.05
12.5613 	EXP 	text: text = 'choose right'
12.5613 	EXP 	text: autoDraw = True
12.5613 	EXP 	image: autoDraw = True
12.5613 	EXP 	image_2: autoDraw = True
13.0833 	DATA 	Keypress: right
13.0945 	EXP 	text: autoDraw = False
13.0945 	EXP 	image: autoDraw = False
13.0945 	EXP 	image_2: autoDraw = False
13.0945 	EXP 	fb_2: foreColor = <psychopy.colors.Color: green, alpha=1.0>
13.0945 	EXP 	fb_2: height = 0.1
13.0945 	EXP 	fb_2: height = 0.1
13.0945 	EXP 	fb_2: height = 0.1
13.0945 	EXP 	fb_2: text = 'Correct! 0.86, 0 cleared'
13.0945 	EXP 	fb_2: autoDraw = True
14.0800 	EXP 	New trial (rep=2, index=0): <Trial 4 (0 in rep 2) data={'stimuli': 'choose left', 'corrAns': 'left', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 2}>
14.0951 	INFO 	Keyboard events cleared
14.0950 	EXP 	fb_2: autoDraw = False
14.0950 	EXP 	fb_2: autoDraw = False
14.0950 	EXP 	text: height = 0.05
14.0950 	EXP 	text: height = 0.05
14.0950 	EXP 	text: height = 0.05
14.0950 	EXP 	text: text = 'choose left'
14.0950 	EXP 	text: autoDraw = True
14.0950 	EXP 	image: autoDraw = True
14.0950 	EXP 	image_2: autoDraw = True
14.9496 	DATA 	Keypress: left
14.9612 	EXP 	text: autoDraw = False
14.9612 	EXP 	image: autoDraw = False
14.9612 	EXP 	image_2: autoDraw = False
14.9612 	EXP 	fb_2: foreColor = <psychopy.colors.Color: green, alpha=1.0>
14.9612 	EXP 	fb_2: height = 0.1
14.9612 	EXP 	fb_2: height = 0.1
14.9612 	EXP 	fb_2: height = 0.1
14.9612 	EXP 	fb_2: text = 'Correct! 0.88, 0 cleared'
14.9612 	EXP 	fb_2: autoDraw = True
15.9464 	EXP 	New trial (rep=2, index=1): <Trial 5 (1 in rep 2) data={'stimuli': 'choose right', 'corrAns': 'right', 'thisN': 5, 'thisTrialN': 1, 'thisRepN': 2}>
15.9628 	INFO 	Keyboard events cleared
15.9627 	EXP 	fb_2: autoDraw = False
15.9627 	EXP 	fb_2: autoDraw = False
15.9627 	EXP 	text: height = 0.05
15.9627 	EXP 	text: height = 0.05
15.9627 	EXP 	text: height = 0.05
15.9627 	EXP 	text: text = 'choose right'
15.9627 	EXP 	text: autoDraw = True
15.9627 	EXP 	image: autoDraw = True
15.9627 	EXP 	image_2: autoDraw = True
16.8353 	DATA 	Keypress: right
16.8445 	EXP 	text: autoDraw = False
16.8445 	EXP 	image: autoDraw = False
16.8445 	EXP 	image_2: autoDraw = False
16.8445 	EXP 	fb_2: foreColor = <psychopy.colors.Color: green, alpha=1.0>
16.8445 	EXP 	fb_2: height = 0.1
16.8445 	EXP 	fb_2: height = 0.1
16.8445 	EXP 	fb_2: height = 0.1
16.8445 	EXP 	fb_2: text = 'Correct! 0.89, 0 cleared'
16.8445 	EXP 	fb_2: autoDraw = True
17.8318 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
17.8445 	EXP 	fb_2: autoDraw = False
17.8445 	EXP 	fb_2: autoDraw = False
17.8445 	EXP 	text_3: autoDraw = True
18.8310 	DEBUG 	Read csv file with pandas: stimuli.csv
18.8315 	DEBUG 	Clearing unnamed columns from stimuli.csv
18.8317 	EXP 	Imported stimuli.csv as conditions, 2 conditions, 2 params
18.8319 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'stimuli': 'choose right', 'corrAns': 'right', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
18.8448 	INFO 	Keyboard events cleared
18.8447 	EXP 	text_3: autoDraw = False
18.8447 	EXP 	text_3: autoDraw = False
18.8447 	EXP 	text: text = 'choose right'
18.8447 	EXP 	text: autoDraw = True
18.8447 	EXP 	image: autoDraw = True
18.8447 	EXP 	image_2: autoDraw = True
19.5002 	DATA 	Keypress: right
19.5113 	EXP 	text: autoDraw = False
19.5113 	EXP 	image: autoDraw = False
19.5113 	EXP 	image_2: autoDraw = False
19.5113 	EXP 	fb_2: foreColor = <psychopy.colors.Color: green, alpha=1.0>
19.5113 	EXP 	fb_2: height = 0.1
19.5113 	EXP 	fb_2: height = 0.1
19.5113 	EXP 	fb_2: height = 0.1
19.5113 	EXP 	fb_2: text = 'Correct! 0.90, 0 cleared'
19.5113 	EXP 	fb_2: autoDraw = True
20.4967 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'stimuli': 'choose left', 'corrAns': 'left', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
20.5115 	INFO 	Keyboard events cleared
20.5114 	EXP 	fb_2: autoDraw = False
20.5114 	EXP 	fb_2: autoDraw = False
20.5114 	EXP 	text: height = 0.05
20.5114 	EXP 	text: height = 0.05
20.5114 	EXP 	text: height = 0.05
20.5114 	EXP 	text: text = 'choose left'
20.5114 	EXP 	text: autoDraw = True
20.5114 	EXP 	image: autoDraw = True
20.5114 	EXP 	image_2: autoDraw = True
20.9141 	DATA 	Keypress: escape
21.0469 	EXP 	untitled: status = STOPPED
21.0612 	EXP 	text: autoDraw = False
21.0612 	EXP 	image: autoDraw = False
21.0612 	EXP 	image_2: autoDraw = False
21.0631 	EXP 	untitled: status = STOPPED
21.0675 	INFO 	saved data to 'C:\\Users\\mattp\\Documents\\GitHub\\Rhodes_Experiment\\data/831500_untitled_2025-07-03_13h41.55.982.csv'
21.0681 	INFO 	saved data to C:\Users\mattp\Documents\GitHub\Rhodes_Experiment\data/831500_untitled_2025-07-03_13h41.55.982.psydat
21.0997 	DEBUG 	Saving data for untitled ExperimentHandler
21.1028 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
21.1434 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
